RTK Theater No,Metro,Theater Long Name,Circuit Name,Address,City,State,ZIP Code,Area,Active Screen Count,Link
7596,Dallas-Ft. Worth,"Cinemark West Plano 20 + XD (Plano, TX)",Cinemark,3800 Dallas Pkwy,"Plano, TX",TX,75093-7859,"Dallas, TX - Plano",20,https://tickets.twosleepypeople.com/?lat=33.049263&lon=-96.82755400000002&location=Plano&country=US&date=2026-01-22
991914,Dallas-Ft. Worth,"Alamo Lake Highlands 8 (Dallas, TX)",Alamo Drafthouse,6770 Abrams Road,"Dallas, TX",TX,75231,"Dallas, TX - Love Field",8,https://tickets.twosleepypeople.com/?lat=32.867455&lon=-96.741556&location=Dallas&country=US&date=2026-01-22
7215,Dallas-Ft. Worth,"Cinemark 17 + XD, IMAX (Dallas, TX)",Cinemark,11819 Webb Chapel Rd,"Dallas, TX",TX,75234-7721,"Dallas, TX - Richardson",18,https://tickets.twosleepypeople.com/?lat=32.910367&lon=-96.87443200000001&location=Dallas&country=US&date=2026-01-22
8380,Denver,"Regal UA Denver Pavilions (Denver, CO)",REGAL,500 16th St #310,"Denver, CO",CO,80202-4209,"Denver, CO - Downtown",15,https://tickets.twosleepypeople.com/?lat=32.20721106567093&lon=-83.18705851212144&location=Eastman&country=US&date=2026-01-22
990178,Detroit,"Ann Arbor 20 IMAX (Ypsilanti, MI)",Cinemark,4100 Carpenter Rd,"Ypsilanti, MI",MI,48197-9648,"Ann Arbor, MI",21,https://tickets.twosleepypeople.com/?lat=42.227163&lon=-83.68190500000003&location=Pittsfield%20Charter%20Township&country=US&date=2026-01-22
990225,Grand Rapids-Kalmzoo-B.Crk,"Celebration Grand Rapids North 17 + IMAX (Grand Rapids, MI)","Loeks Theatres, Inc.",2121 Celebration Drive NE,"Grand Rapids, MI",MI,49525-9579,"Grand Rapids, MI",18,https://tickets.twosleepypeople.com/?lat=43.000909&lon=-85.59302300000002&location=Grand%20Rapids&country=US&date=2026-01-22
990839,Greenvll-Spart-Ashevll-And,"Regal Biltmore Grande (Asheville, NC)",REGAL,292 Thetford St,"Asheville, NC",NC,28803,"Asheville, NC",15,https://tickets.twosleepypeople.com/?lat=35.484921&lon=-82.55791099999999&location=Asheville&country=US&date=2026-01-22
1390,Harrisburg-Lncstr-Leb-York,"Regal Manor (Lancaster, PA)",REGAL,1246 Millersville Pike,"Lancaster, PA",PA,17603-6656,"Lancaster, PA",16,https://tickets.twosleepypeople.com/?lat=40.026317&lon=-76.32392900000002&location=Lancaster%20Township&country=US&date=2026-01-22
990246,Houston,"Regal Edwards Houston Marq'E (Houston, TX)",REGAL,7620 Katy Fwy,"Houston, TX",TX,77024-2002,"Houston, TX - Downtown",23,https://tickets.twosleepypeople.com/?lat=29.785657&lon=-95.465622&location=Houston&country=US&date=2026-01-22
8694,Houston,"Regal Edwards Greenway Grand Palace (Houston, TX)",REGAL,3839 Weslayan St,"Houston, TX",TX,77027-6823,"Houston, TX - Downtown",24,https://tickets.twosleepypeople.com/?lat=29.731375&lon=-95.44081299999999&location=Houston&country=US&date=2026-01-22
990604,Knoxville,"Regal Pinnacle (Knoxville, TN)",REGAL,11240 Parkside Drive,"Knoxville, TN",TN,37922,"Knoxville, TN",18,https://tickets.twosleepypeople.com/?lat=35.89967&lon=-84.15573599999999&location=Knoxville&country=US&date=2026-01-22
990602,Las Vegas,"Regal Red Rock (Las Vegas, NV)",REGAL,11011 West Charleston Blvd,"Las Vegas, NV",NV,89135,"Las Vegas, NV - Summerlin",16,https://tickets.twosleepypeople.com/?lat=36.156012&lon=-115.33318199999997&location=Las%20Vegas&country=US&date=2026-01-22
8972,Las Vegas,"Las Vegas Suncoast 16 + XD (Las Vegas, NV)",Cinemark,9090 Alta Dr,"Las Vegas, NV",NV,89144,"Las Vegas, NV - Summerlin",16,https://tickets.twosleepypeople.com/?lat=36.169129&lon=-115.29106300000001&location=Las%20Vegas&country=US&date=2026-01-22
990974,Los Angeles,"Regal Edwards Long Beach (Long Beach, CA)",REGAL,7501 Carson Blvd,"Long Beach, CA",CA,90808-2365,"Long Beach, CA",26,https://tickets.twosleepypeople.com/?lat=33.830708&lon=-118.08682799999997&location=Long%20Beach&country=US&date=2026-01-22
992673,Los Angeles,"Regal Paseo (Pasadena, CA)",REGAL,300 E Colorado Blvd,"Pasadena, CA",CA,91101,"San Gabriel Valley, CA - Pasadena",14,https://tickets.twosleepypeople.com/?lat=34.145669&lon=-118.14319999999998&location=Pasadena&country=US&date=2026-01-22
904972,Los Angeles,"Regal Sherman Oaks Galleria (Sherman Oaks, CA)",REGAL,15301 Ventura Blvd,"Sherman Oaks, CA",CA,91403,"San Fernando Valley, CA - Ventura Blvd",16,https://tickets.twosleepypeople.com/?lat=34.154279&lon=-118.467062&location=Los%20Angeles&country=US&date=2026-01-22
7726,Los Angeles,"Reading Cal Oaks 17 with Titan LUXE (Murrieta, CA)",Reading Cinemas,41090 California Oaks Rd,"Murrieta, CA",CA,92562-5749,"Riverside, CA - Temecula",17,https://tickets.twosleepypeople.com/?lat=33.56369&lon=-117.20224000000002&location=Murrieta&country=US&date=2026-01-22
990248,Los Angeles,"Regal Irvine Spectrum (Irvine, CA)",REGAL,500 Spectrum Center Drive,"Irvine, CA",CA,92618-2925,"Orange County, CA - Lake Forest",21,https://tickets.twosleepypeople.com/?lat=33.651787&lon=-117.74494199999998&location=Irvine&country=US&date=2026-01-22
